annotation,labels,GRNTI
dans cet article nous obtenons des estimation coercitives a priori pour de solution à un problème aux limit de type dirichlet dans une bande pour une équation elliptique dégénérée d ordre élevé et prouvons également un théorème d existence et d unicité pour de solution à de tels problèmes l équation contient de opérateurs de pondération qui sont une superposition de l opérateur de multiplication par une fonction qui s annule à la frontière et l opérateur de différenciation au bord de condition de type condition de dirichlet sont considérées les estimation sont obtenues dans de espaces pondérés spéciaux du type de espaces s l sobolev,20,Математика
dans cet article l équation de lakshmanan porsesian daniel lpd est considérée cette équation est intégrable et admet un couple de lax l équation lpd est une généralisation de l équation de schrödinger non linéaire nls et est décrite par le système ablowitz kaup newell segura akns en utilisant la méthode sinus cosinus et la méthode de la tangente hyperbolique un certain nombre de nouvelles solution exact sont obtenues ce méthodes sont un moyen efficace de trouver de solution exact aux équations aux dérivées partielles non linéaires en physique mathématique le solution obtenues se sont avérées importantes pour expliquer certains problèmes physique pratiques,20,Математика
l article considère le fonctions de distribution de la distance entre deux point aléatoires indépendants et uniformément distribués ainsi que la longueur de la corde dans un domaine convexe borné d en utilisant un certain nombre de faits bien connus une forme explicite de la longueur de la corde et de la distribution de densité de fonctions pour le domaines convexes bornés avec une frontière lisse est dérivée ainsi qu une forme explicite de la fonction de densité de la distance entre deux point,0,Общественные Науки В Целом
l article étudie le problème de la dynamique du sol gelé avec un changement de la température extérieure à la limite de la région physique considérée selon le schéma généralement accepté proposé indépendamment par r barridge et j keller et e sanchez palencia en tout d abord un modèle mathématique microscopique est formulé qui décrit le processus physique au niveau microscopique par les équations du classique mécanique newtonienne de milieux continus un petit paramètre naturel ici est le diamètre moyen sans dimension de pore du squelette solide du sol dans ce modèle le changement de température du milieu est contrôlé par le problème de stefan et la dynamique de fluides dans le pore d un squelette de sol absolument solide est soumise aux équations de stokes pour un fluide incompressible visqueux le deuxième et principal point de la méthode est la dérivation de équations macroscopiques du processus physique qui sont obtenues en passant à la limite lorsqu un petit paramètre tend vers zéro moyenne le but de ce travail est de dériver de équations macroscopiques moyennes décrivant la dynamique du sol gelé en utilisant la méthode d expansion à deux échelles,20,Математика
dans un cylindre q dont la base est délimitée par une surface de lyapunov on considère une équation parabolique du second ordre qui dégénère dans des direction tangentielles à la frontière de la base pour le solution de cette équation par analogie avec le ca elliptique la classe hp est introduite un critère pour le fonctions appartenant à cette classe est établi de condition sont données pour l unique solvabilité du problème avec de condition aux limit et initiales comprise au sen de lp,20,Математика
on considère le système de n équations d euler poisson darboux en notation matricielle dont la matrice de coefficient a une valeur propre de multiplicité n ou un couple de valeurs propres complexes conjuguées de multiplicité n à partie réelle de l intervalle en raison de la singularité sur la ligne non caractéristique le problème de cauchy dans la formulation classique de ce système est incorrect un analogue du problème de cauchy avec un poids qui compense cette caractéristique est formulé en changeant de variable le coefficient matriciel du système est réduit à la forme normale de jordan qui est une cellule de jordan pour le ca de valeurs propres réelles et un analogue réel de la cellule de jordan d ordre n pour le ca de valeurs propres conjuguées complex en utilisant la méthode de riemann avec l utilisation de l appareil de fonctions d une matrice de solution du problème posé sont obtenues et de théorèmes de bien posé sont formulés,20,Математика
de nanocristaux de solution solides de znsxse x ont été obtenus par la méthode de synthèse auto propagée à haute température le mélange obtenu est une combinaison de nanocristaux et de polycristaux de polycristaux se forment en raison de la température de réaction élevée et de l impossibilité d une évacuation instantanée de la chaleur il existe une dépendance non linéaire du mélange incorporé avant synthèse et de la poudre obtenue après synthèse le tailles de nanocristaux de znsxse x sont calculées par la méthode debye scherrer les dimension maximales étaient de nm pour le sulfure et le séléniure de zinc et de nm pour toutes le autres composition le degrés de densité de microcontrainte et de dislocation que nous obtenons dans le nanocristaux de znsxse x sont typiques pour de composition homogènes avec une grande perfection de la structure cristalline les nanocristaux pour tous le paramètres x sont caractérisés par la présence de phase hexagonales et cubiques avec la diminution du paramètre x dans les nanocristaux de solution solides de znsxse x la fraction de la phase cubique augmente l environnement local de ion d impuretés mn dépend de la composition de la solution solide dans znsxse x avec une composition de x les ion mn sont entourés d ion soufre avec une constante de structure hyperfine a mt et dans les composition avec x le ion mn sont entourés d ion sélénium avec une constante de structure hyperfine de mt dans le nanocristaux de znsxse x non illuminés de composition x il existe une seule raie de résonance paramagnétique électronique rpe de ion cr avec un facteur g,22,Физика
l effet photovoltaïque dans une cellule nématique symétrique sans revêtements d orientation avec un colorant azoïque rouge de méthyle a été étudié expérimentalement on montre que sans champ électrique externe sous l action de la lumière la cellule génère un courant électrique a cm qui dépend du spectre d irradiation est supérieur de deux ordres de grandeur au courant d un cellule nématique sans colorant dans le mêmes condition d irradiation la polarité du photocourant dépend de la direction d éclairement de la cellule une analyse de la dépendance à la température du photocourant indique un mécanisme d activation possible pour le transfert de porteurs de charge avec une énergie d activation de à ev pour différentes épaisseurs de la cellule nématique on suppose qu il existe au moins deux processus de charge avec des temp caractéristiques qui diffèrent de plusieurs ordres de grandeur le premier est lié à l effet photoélectrique dans les électrodes transparentes in o tandis que le second est dû à la séparation spatiale de charge et est de nature diffusive l influence de la transition de phase sur le photocourant aussi bien dans une cellule à nématique pur que dans des cellules nématiques à rouge de méthyle est établie ce qui est dû à l apparition d un état de transition fortement diffusant du cristal liquide,22,Физика
une boîte à outils et un procédé pour réduire de séquences d entiers appartenant à la classe de récursions génératrices de facteurs à une forme fermée sont présentés les signes et le propriétés de la récursivité génératrice factorielle modifiée d une et deux variable sont déterminés la récursivité génératrice factorielle la plus connue de deux variable est la suite de nombres de stirling de première espèce de nombres hyperharmoniques modifiés sont utilisés pour synthétiser un modèle de récurrence analytique les avantages de ce nombres pour la construction de formes fermées de récurrences génératrices factorielles sont révélés une forme fermée incomplète de la suite de nombres de stirling de première espèce est synthétisée,20,Математика
le principaux type de signet algorithmiques sont considérés une méthode de construction de signet kleptographiques asymétriques dans le générateur de clé rsa est présentée qui permet au propriétaire de la clé de signet le développeur ou une agence de renseignement autorisée d accéder à une clé utilisateur générée par un algorithme infecté de théorèmes illustrant le performance de algorithmes décrits sont formulés et la complexité de calcul de ce algorithmes est estimée la résistance de onglets construits à certaines class d attaques est démontrée même si l adversaire connaît les méthodes utilisées et a accès au code source du générateur de clé,20,Математика
le problème de la stéganalyse de image numériques est considéré une approche est proposée qui consiste à diviser une grande image d entrée en petits blocs sans chevauchement et à effectuer une stéganalyse séquentielle de ce blocs à l aide de réseaux convolutionnels relativement simple avec une architecture modifiée qui comprend de couch de traitement spéciales après cela lors du post traitement secondaire l ensemble résultant de résultats de la classification de blocs est combiné en une séquence de réponses binaires selon le schéma de classification naïf de bayes y compris si nécessaire en tenant compte de l occupation potentielle de blocs comme moyen de traitement d image spécial supplémentaire dans les réseaux convolutifs il est proposé d utiliser les transformation dites hétéroassociatives intégrales qui assurent la sélection des composantes estimées et stochastiques masquage sur le bloc d image traité sur la base du modèle de prédiction d un partie du bloc par rapport à une autre et visant à identifier les violation structurelles et statistiques de propriétés de l image après intégration du message stego de telles transformation sont incluses dans l architecture de réseaux de neurones entraînés en tant que couche supplémentaire des variantes alternative de l architecture de réseaux de neurones profonds utilisés sont envisagées à la fois avec et sans l utilisation d une couche de transformation hétéroassociative intégrale le études ont été réalisées pour la base d image couleur de base ppg lirmm color et plusieurs algorithmes de stego hide y compris le algorithmes spectraux de bloc et de bloc classiques de cutter koch zhao les algorithmes plus modernes emd mbep et wow et s uniward algorithmes de stéganographie spatiale adaptative avec un degré élevé de furtivité pour la stéganalyse les algorithmes de stego hide de données développés par le auteurs et basés sur l utilisation de transformation compressives hétéroassociatives sont également considérés il est démontré que la précision de la stéganalyse obtenue en mettant en œuvre le schémas de traitement de l information proposés pour de image de grande taille à de coûts de calcul plutôt modestes est comparable aux résultats obtenus par d autres auteurs et dans certains cas le dépasse même,0,Общественные Науки В Целом
on prouve que toute fonction booléenne non constante de n variable peut être implémentée par un circuit non redondant d éléments fonctionnels dans la base ce qui permet pour n un seul test de vérification de longueur pas plus de n en ce qui concerne les défaillances arbitraires de éléments,20,Математика
l approche matrice graphe est utilisée pour estimer l ensemble de variable essentielles et non linéaires des fonctions coordonnées du produit de transformation de espaces vectoriels pour le variable essentielles le estimation sont obtenues en multipliant le matrix de mélange binaires ou digraphes de transformation multipliées pour le variable non linéaires en multipliant le matrix de non linéarité ternaires de transformation multipliées ou leurs digraphes de non linéarité correspondants dont le arc sont étiquetés par les nombres de l ensemble pour de degrés d une transformation donnée le domaine de estimation non triviales est limité pour un ensemble de variable essentielles par l exponentielle de la matrice de mélange digraphe pour un ensemble de variable non linéaires le exposant de la matrice digraphe de non linéarité pour la classe de transformation de registres à décalage binaires une estimation réalisable de exposants est obtenue exprimée en termes de longueur du registre à décalage et de l ensemble de nombres de variable essentielles et non linéaires de la fonction de rétroaction pour le transformation de registre dont le digraphe de non linéarité a une boucle une formule exacte pour l exposant est obtenue les résultats peuvent être utilisés pour évaluer les caractéristiques de non linéarité de fonctions cryptographiques construites sur la base d itérations de transformation de registre,20,Математика
étant donné une liste l v pour chaque sommet v on dit qu un graphe g est l colorable s il existe une coloration propre de sommets de g où chaque sommet v tire sa couleur de l v un graphe est uniquement coloré par une k liste s il existe une affectation de liste l telle que l v k pour chaque sommet v et le graphe a exactement une coloration l avec ce list si le graphe g n est pa une k liste uniquement coloriable on dit aussi que g a la propriété m k le plus petit entier k pour lequel g possède la propriété m k est appelé le m nombre du groupe g et est noté m g dans cet article nous caractérisons la colorabilité de liste unique du graphe g kn kr en particulier on définit le nombre m g du graphe g kn kr,20,Математика
le problème de l entrée dans un sous groupe de type fini sous semigroupe pour le groupes semigroupes est un problème algorithmique classique en algèbre qui a été activement étudié pendant de nombreuses décennies déjà pour de groupes et semi groupes suffisamment simple ce problème devient insoluble par exemple k a mikhailova en a prouvé l insolvabilité du problème d occurrence dans les sous groupes de type fini et par conséquent les sous semigroupes pour le produit direct f f de deux groupes libres de rang puisque par le théorème bien connu de sanov le groupe f a une représentation exacte par de matrix entières d ordre le groupe f f est un sous groupe du groupe gl ℤ de matrix entières d ordre cela implique facilement que le problème considéré est insoluble pour le groupe glk ℤ pour k l insolvabilité du problème d occurrence de matrix entières d ordre dans des sous semigroupes de semigroupes découle de paterson dans cet article nous proposons un algorithme fortement générique qui résout le problème d occurrence dans des sous semigroupes de semigroupes de matrix entières d ordre arbitraire pour un sous ensemble d entrées dont la séquence de densités relative converge exponentiellement vers lorsque la taille augmente,20,Математика
le problème de la construction d analyseurs basés sur de diagrammes syntaxiques avec de composants multi entrées sd est considéré un algorithme basé sur l algorithme gll pour construire un analyseur est proposé dont le résultat est une représentation compacte de la forêt d analyse de chaîne d entrée l algorithme proposé permet de construire de analyseurs syntaxiques sur sd de structure arbitraire et ne nécessite pa de transformation préalables de la sd le analyseurs construits peuvent être utilisés pour analyser n importe quel langage sans contexte y compris le langages non déterministes et ambigus le concept d arbre de sortie et de forêt d analyse pour sd sont introduits les structure de données utilisées par l analyseur sont décrites telles qu une pile avec une structure de graphe un descripteur d analyseur et une représentation compacte de la forêt d analyse un algorithme de construction d analyseurs syntaxiques selon sd est décrit et un exemple de construction d un tel analyseur est donné,36,Автоматика. Вычислительная Техника
notre principale contribution est l implémentation efficace de algorithmes de comptage de point de gaudry schost et galbraith rupray sur les jacobiennes de courbes hyperelliptiques le deux sont de variantes à faible mémoire de l algorithme baby step de type giant step matsuo chao tsujii mct nous présentons une contrainte de mémoire optimale un compromis entre le temp et la mémoire qui minimise le temp d exécution de algorithmes ce compromis nous permet d approcher dans les calculs pratiques le limit théoriques du temp d exécution attendu à n et an pour les algorithmes de gaudry schost et galbraith rupray respectivement ici n est la taille de l espace de recherche bidimensionnel qui est égal à l ordre du groupe de jacobi divisé par le petit module m précalculé à l aide d autres méthodes notre implémentation bénéficie du multithreading et nous fournissons de statistiques de performance lorsqu il s agit d entrées de différentes tailles il s agit de la première implémentation parallèle open source de l algorithme galbraith rupray d,20,Математика
deux méthodes sont décrites pour construire de courbes hyperelliptiques maximales de genre trois sur un corp fini c est à dire de courbes dont le nombre de point atteint la borne supérieure de hasse weil serre on considère de courbes d équation y x ax bx décomposables en courbes elliptiques la première méthode est basée sur la construction d un couple de courbes elliptiques supersingulières sur un corp premier dont le j invariant de l une est égal à ou et le j invariant de l autre courbe est également connu sur la base des courbes elliptiques construites la courbe hyperelliptique maximale requise est construite sur une extension de champ premier appropriée cette méthode n épuise pa tout le courbes maximales mais elle donne un algorithme très efficace pour construire certaines de leurs familles la deuxième méthode est basée sur la factorisation de polynômes de legendre qui sont les invariant de hasse de courbes elliptiques correspondantes dans la décomposition jacobienne la méthode nous permet de construire toutes les courbes maximales possible pour le ca b et le champ fp et nous l utilisons pour construire toutes les courbes maximales pour p et a,20,Математика
dans un graphe complet avec des sommets n le sommets n sont pourvus d étiquettes aléatoires indépendantes qui prennent de valeurs d un ensemble fini an nous considérons l ensemble de toutes les chaînes le long de s arêtes adjacentes dont chacune quitte le sommet et ne passe pa deux fois par le même sommet chaque chaîne correspond à une s chaîne d étiquettes aléatoires de sommets traversés on considère une u statistique uk s avec un noyau dépendant de k telles s chaînes le nombre k est considéré comme fixe et s peut changer il est établi qu une condition suffisante pour la normalité asymptotique de uk s sous la normalisation usuelle est une condition de la forme duk s cn k k où c k,20,Математика
une exigence nécessaire pour un système de chiffrement est un ordre suffisamment grand du groupe qui est associé au chiffrement c est à dire généré par de substitution de chiffrement a cet égard on s intéresse à la valeur p n qui estime les ordres de groupes de permutation cyclique de degré n y compris les groupes cycliques générés par le substitution de chiffrement on sait que l ordre d une substitution est égal au plus petit commun multiple de longueur de s cycle cependant la fonction p n qui prend de valeurs égales au plus haut ordre de substitution de puissance n a été peu étudiée où w n est le produit de tous le premier par ordre croissant nombres premier dont somme est au plus n une estimation asymptotique de la borne inférieure pour un grand n est obtenue pour tout n et k n ln n,20,Математика
une approche combinée de la recherche de fonctions booléennes à haute immunité algébrique basée sur de méthodes heuristiques en particulier l algorithme génétique et l algorithme hill climb est proposée pour le fonctions booléennes de n variable de expériences informatiques ont été réalisées qui ont démontré l efficacité de l approche proposée,20,Математика
soit n une permutation de n éléments f une fonction booléenne de n variable considérons une fonction booléenne vectorielle fn f f de la forme fn x f x f n x f nn x nous étudions l immunité algébrique composante de la fonction fn en fonction de la fonction booléenne f et de la permutation n pour n de ensembles complets de fonctions booléennes et vectorielles partielles booléennes avec une immunité algébrique maximale à partir d un petit nombre de variable sont obtenus,20,Математика
le fonctions pliées de la forme fn zq où q est un nombre naturel sont appelées fonctions pliées généralisées le fonctions pliées généralisées pour lesquelles une fonction pliée double peut être définie sont appelées régulières une fonction pliée généralisée régulière est dite auto duale si elle coïncide avec son dual le condition nécessaires et suffisantes pour l auto dualité de fonctions fléchies généralisées de la classe eliseev majorana mcfarland sont obtenues la gamme complète de distance de lie entre ce fonctions est présentée l inexistence de fonctions fléchies généralisées auto duales affines est prouvée une classe d application isométriques qui préservent l auto dualité d une fonction courbée généralisée est donnée en utilisant ce application une classification raffinée de fonctions fléchies auto duales de la forme f j z est obtenue,20,Математика
on considère la probabilité adp a e y de transformer le différences en fonctions xor modulo n où a e y g cette valeur est utilisée dans l analyse de primitive de clé symétriques qui combinent xor et addition modulo telles que le construction arx l attention principale est accordée aux caractéristiques avec la probabilité maximale avec un argument fixe on établit que maxadp a b y adp y y et on prouve que s il y a deux ou huit couple différents a c pour lesquels la probabilité adp y y une représentation simplifiée de adp y y et une formule pour min adp y y sont obtenues,20,Математика
de limit inférieure et supérieure améliorées sont obtenues pour le nombre de mappages binaires d ordre k et k élastiques n m k stable sans corrélation,20,Математика
on considère de méthodes pour construire de permutation différentielles à uniformes sur f m pour le ca m l approche proposée est décrite en utilisant ce qu on appelle la représentation tu de fonctions et généralise la méthode bien connue pour construire de permutation différentielles à uniformes du champ f m utilisant la substitution d inversion d éléments non nuls du domaine,20,Математика
un ensemble d expansion d une fonction logique à valeur p en un produit de fonctions d ensemble non croisés de variable sous diver transformation linéaires de argument est considéré chacune de ce décompositions correspond à une décomposition d un espace vectoriel en une somme directe de sous espaces les condition sont données sous lesquelles l expansion est déterminée de manière unique jusqu à une permutation de sous espaces,20,Математика
se consideran aspectos y parámetros del algoritmo de emparejamiento estéreo semi global a los que se les puede aplicar optimización para reducir el número de operaciones realizadas y aumentar el número de cuadros de mapa de disparidad generados por el algoritmo por unidad de tiempo se presentan do posibles formas de aumentar la productividad sus ventajas y desventajas los resultados de la ejecución del algoritmo estéreo utilizando estos métodos sobre datos de prueba así como un análisis comparativo de los valores de la disparidades calculadas erróneamente,36,Автоматика. Вычислительная Техника
se supera un procedimiento iterativo para resolver el problema del transporte en el que la demanda de bienes e una variable aleatoria y se conoce la densidad de distribución el plan de transporte resultante minimiza el costo total de transporte así como los costos de almacenamiento y la penalización por escasez,54,Транспорт
el artículo está dedicado a la consideración de los métodos de gestión de riesgos ambientales como un medio para mejorar el desempeño ambiental se consideran los tipos de riesgo ambiental los métodos para evaluar y pronosticar los riesgos ambientales de la empresas industriales,5,Экономика И Экономические Науки
por primera vez se utiliza el teorema de incompletitud de gödel para identificar la estructura del acero para eliminar parcialmente lo incompleto de la declaración sobre la posible autoorganización de un sistema de naturaleza inanimada una variedad de metales se aplica el principio del complemento externo de beer,20,Математика
en en la región de yakutsk el escritor y etnógrafo polaco v l seroshevski en publicó la monografía yakut la experiencia de la investigación etnográfica e una obra enciclopédica sobre la etnografía de los yakutos de finale del siglo xix en él fue uno de los primeros en llamar la atención sobre la epopeya heroica olonkho de los yakutos la destacó entre los géneros del arte popular oral describió el arte de los olonkhosuts narradores sugirió el origen del sur de siberia del yakut epic señaló su significado cultural general muchas disposiciones y conclusiones del etnógrafo se utilizan en los estudios épicos de yakut hasta el día de hoy,2,История. Исторические Науки
el artículo está dedicado al desarrollo de un modelo y algoritmo para resolver el problema de optimizar series paramétricas multidimensionales con el fin de introducir nuevas soluciones técnicas y tecnológicas en modelos prometedores de armas de alta precisión,58,Военное Дело
se considera un enfoque metódico para evaluar el nivel de amenaza de una inconsistencia funcional al usar un sistema de información sobre la base de un conjunto de relaciones de propósito previsto y relaciones de realizabilidad,36,Автоматика. Вычислительная Техника
en nuestro trabajo se propone un enfoque de filtración para describir la deformación plástica se ha generalizado en hidromecánica en el estudio de suelos saturados de agua suspensiones de gas suspensiones etc dichos sistemas están modelados por do continuo e decir la fases se distribuyen ficticiamente en todo el volumen y su interacción se lleva a cabo mediante el intercambio de cantidad de movimiento masa energía etc,22,Физика
el artículo analiza el desarrollo de una base de datos de un sistema analítico de información para monitorear el estado del medio ambiente de los paisajes tecnogénicos y predecir el momento de la restauración de su productividad biológica,66,Охрана Окружающей Среды. Экология Человека
el contenido de humedad de la capa superficial del suelo determinado en estaciones meteorológicas se estudia mediante el satélite metop se seleccionaron estaciones ubicadas en estados unidos e incluidas en la red de observación ameriflux la estaciones están ubicadas en diferentes zona climáticas identificadas por tipo de vegetación según la clasificación del igbp período de investigación la evaluación se realizó para varios tipos de superficies subyacentes los datos de la observaciones satelitales se reducen a mediciones directas y se evalúa la precisión de la mediciones se muestra una buena concordancia con los datos reales de medidas directas de humedad lo que permite utilizar los datos de medidas satelitales de humedad del suelo en sistemas de asimilación de datos para modelos numéricos de pronóstico del tiempo los resultados también se pueden utilizar para el territorio de rusia con superficies subyacentes similares,27,Геофизика
el artículo presenta nuevas propiedades antibacterianas de geles oxihidratados de elementos d y f en el contexto de inclusiones de carbono la actividad antimicrobiana de los geles de óxido de zirconio hierro aluminio e itrio se puede utilizar en vendajes antibacterianos de nueva generación en procesos de tratamiento y purificación de agua se han observado la siguientes ventajas de los vendajes antibacterianos a base de oxihidratos de hierro y aluminio el efecto antibacteriano del nanocluster se nota después de minutos toda la microflora patógena muere efecto gel adsorbente absorbente limpiador desodorizante,24,Химия
se construyó un biosensor de ácido láctico amperométrico desechable basado en la inmovilización de la enzima lactato deshidrogenasa ldh y su cofactor nicotinamida adenina dinucleótido nad utilizando una membrana de acetato de celulosa ca moldeada in situ estos componentes se aplicaron a un electrodo de carbono serigrafiado que contenía de azul de meldola en peso de carbono se optimizó el diseño del sensor el biosensor final contenía unidades ldh μg nad y usó un molde de membrana de una solución de ca al se ha establecido que la solución óptima para medir el lactato e mol dm de tampón fosfato ph la temperatura óptima e de c se encontró que la desviación estándar relativa para un lote de electrodos era del,24,Химия
se ha desarrollado un electrodo bienzimático basado en amplificación de señal que permite determinar concentraciones pico y nanomolares de p aminofenol el elemento activo del sensor consiste en enzimas lacasa y glucosa deshidrogenasa co inmovilizadas conectadas a un electrodo de oxígeno lakcase cataliza la oxidación de p aminofenol con oxígeno para formar p iminoquinona este último se reduce por el exceso de glucosa en presencia de glucosa deshidrogenasa y conduce al reciclaje del sustrato la detección se lleva a cabo midiendo la disminución de la concentración de oxígeno el límite de detección para el p aminofenol e de pm se muestra la posibilidad de determinar una serie de otros sustratos polifenoles poliaminas derivados del ferroceno en el rango nanomolar se encontró una señal de fondo significativa para el fosfato de p aminofenilo este trasfondo probablemente se deba a la capacidad de la lacasa para catalizar la desfosforilación oxidativa en presencia de iones de fosfato este fondo se elimina casi por completo la fosfatasa alcalina pm pudo determinarse después de una incubación de minutos en una solución de fosfato de p aminofenilo para determinar el p aminofenol resultante de la hidrólisis el tiempo de todo el análisis no supera los min la nueva técnica e adecuada para su uso en inmunoensayos enzimáticos de fosfatasa alcalina,24,Химия
se describe un biosensor de lactato extremadamente selectivo basado en la inmovilización de lactato oxidasa en pasta de carbón con rodio disperso la eficaz acción catalítica de la micropartículas de rodio respecto al peróxido de hidrógeno generado o al oxígeno consumido permite ajustar el potencial operativo en una región en la que se evitan reacciones indeseables la contribución de toda la principales sustancias fácilmente oxidables se elimina sin necesidad de barreras de membrana o mediadores electrónicos artificiales el límite de detección e de x m y el tiempo de respuesta e de s se ilustra una operación de inyección de flujo rápida y sensible,24,Химия
para datos bilaterales datos obtenidos mediante los llamados métodos de guión se han desarrollado varios métodos para la cuantificación de analitos uno de los métodos más conocidos e el análisis factorial de rango rafa sin embargo el efecto observado en los datos cromatográficos reduce seriamente la usabilidad de este método como cualquier otro método basado en estándares rafa no puede estimar correctamente la concentración en presencia de cambios en el tiempo de retención por lo tanto se necesita un método para corregir el desplazamiento del tiempo de retención la desigualdad de bessel se puede utilizar para corregir el sesgo del tiempo de retención de los datos en relación con los estándares luego rafa se puede usar para estimar concentraciones con un alto grado de precisión este procedimiento se ha demostrado en cuatro conjuntos de datos de diversa complejidad y se ha encontrado que funciona de manera excelente para todos los conjuntos de datos,24,Химия
se presenta un estudio de la recuperación por extracción de compuestos de butilestaño en sedimentos mediante extracción con fluidos supercríticos sfe se logró una recuperación satisfactoria para tbt y dbt la recuperación de mbt a partir de sedimentos enriquecidos e el valor más alto alcanzado hasta la fecha por el método sfe se presenta una comparación de la extracción con fluido supercrítico con un método mejorado de extracción con solvente de tropolona para compuestos de butilestaño también se muestran los resultados del análisis del sedimento de referencia pac,24,Химия
el cobre se puede determinar espectrofotométricamente a nm en función de la reacción de cobre ii y bi ciclohexanona oxalildihidrazona mediante análisis de inyección de flujo la corriente portadora era agua destilada y la corrientes reactivas eran p v de ácido cítrico p v de amoníaco y p v de bi ciclohexanona oxalildihidrazona la curva de calibración fue lineal hasta µg ml de cobre la desviación estándar relativa para la determinación de µg ml de cobre fue de n el límite de detección fue de µg ml de cobre ambo basado en un volumen de inyección de µl el sistema se ha utilizado para determinar el contenido de cobre de aceros aleaciones a base de cobre y alimentos para cerdos y para monitorear el contenido de cobre durante la desincrustación alcalina,24,Химия
los espectros de absorción de clorpromazina y promazina en presencia de vesículas de lecitina de do capas yema de huevo se midieron en relación con soluciones de referencia que contenían la misma cantidad de vesículas de lecitina solas y los espectros de sus segundos derivados se obtuvieron mediante el método de savitsky golay los efectos de la señal de fondo residual de la vesículas de lecitina observados en los espectros de absorción se eliminaron por completo y ambas preparaciones mostraron claramente tres puntos isosbésticos derivados el cambio derivado en intensidad δd provocado por la adición de vesículas de lecitina se midió en λmax de cada fármaco y se calcularon los coeficientes de distribución kp a partir de la relación entre el valor de δd y la concentración de lípidos la fracciones de clorpromazina y promazina separadas calculadas utilizando los valores de kp obtenidos están en buena concordancia con los valores experimentales para fármacos que tienen el carácter de metacromasia entre vesículas lipídicas y agua e incluso en los que la bandas de absorción se superponen con la señales de fondo de la vesículas lipídicas el método propuesto se puede aplicar para determinar sus coeficientes de distribución sin perturbar las condiciones de equilibrio mediante procedimientos de separación,24,Химия
se estudió la determinación fluorimétrica de iones de mercurio con tetra p sulfonatofenil porfirina en soluciones acuosas y en películas sol gel dopadas con porfirina la optimización de la condiciones de complejación como los componentes del tampón el rango de ph y la temperatura condujo a la creación de un método que permite la determinación de iones de mercurio en soluciones acuosas durante min con un límite de detección de µg l hg ii se encontró que los principales iones que interfieren son cd zn y pb para desarrollar un dispositivo sensor optoquímico se inmovilizó un derivado de porfirina en películas finas de sol gel de unos nm de espesor y se estudiaron la propiedades del sensor e decir reactividad estabilidad y morfología de la capas sensibles se ha encontrado que el tipo de catalizador utilizado ácido o alcalino afecta la estabilidad y la sensibilidad la películas de sensor preparadas con ácido eran estables e insensibles al mercurio la producción de películas con catálisis alcalina resultó en capas sensibles al mercurio con estabilidad limitada la estabilidad se puede mejorar mediante la unión covalente del reactivo colorante,24,Химия
se describe un método nuevo y rápido para la preconcentración en tiempo real y la separación de matrix para la determinación de aluminio mediante espectrometría de absorción atómica de llama faa y espectrometría de masa de plasma acoplado inductivamente icp m el método se basa en la retención selectiva de aluminio en una microcolumna llena de chromotrope b inmovilizada sobre una resina de intercambio iónico ag x se investigaron toda la variable que afectan la eficiencia de retención y elución del aluminio de la microcolumna el método resultante e rápido sensible y selectivo para tiempos de recolección de y min a un caudal de ml min los límites de detección son y ng ml para faa e icp m respectivamente el método propuesto que tiene una alta sensibilidad y selectividad se ha aplicado con éxito a la determinación de aluminio en agua corriente y soluciones de diálisis,24,Химия
el método de fluorescencia láser de baja temperatura e decir el estrechamiento de la línea de fluorescencia fln se utilizó para identificar cuatro tetroles de benzo a pireno estereoisoméricos que son productos de hidrólisis de aductos de benzo a pireno adn se usó una combinación de cromatografía microfluídica de fase inversa eluyente metanol agua v v y cromatografía en capa fina utilizando placas de gel de sílice para obtener un cromatograma líquido inmovilizado los picos cromatográficos así obtenidos pudieron identificarse mediante espectroscopia fln fln se puede utilizar para determinar los niveles de vibración del primer estado electrónico excitado algunas de estas vibraciones difieren significativamente para los estereoisómeros considerados por lo que e posible una identificación espectroscópica inequívoca la frecuencia del láser de colorante bombeado nd yag se duplicó para proporcionar longitudes de onda de excitación en el rango de nm la fluorescencia se controló con un detector de diodos de matriz lineal mejorado montado en un monocromador de alta resolución los límites de detección de un sistema completo de separación e identificación están en el rango de femtomoles,22,Физика
se ha desarrollado un nuevo método de cromatografía líquida de alta sensibilidad para la determinación de varios antibióticos de tetraciclina se basa en la medida de la fluorescencia provocada por la complejación de tetraciclinas con un catión de circonio que se añade después de la columna al eluato de cromatografía líquida se han optimizado la concentración del reactivo de circonio y la configuración posterior a la columna se estudió la influencia del tiempo en la estabilidad de los quelatos la intensidad de la fluorescencia fue lineal en el intervalo de concentración de µg ml de tetraciclina el método propuesto ya ha sido aplicado al análisis de cantidades residuales de tetraciclina oxitetraciclina y clortetraciclina en la leche de vaca la ventajas más llamativas del método en comparación con los descritos en la literatura son una mayor sensibilidad y especificidad los límites de detección del ensayo relación señal ruido fueron ng ml ng ml y ng ml para oxitetraciclina tetraciclina y clortetraciclina respectivamente,24,Химия
