,annotation,GRNTI
0,"Одно из важнейших условий развития сельскохозяйственного производства, это использование электрической энергии. Устройством, преобразующим электрическую энергию в механическую, является электропривод. Электропривод состоит из электродвигателя, передаточного механизма, аппаратуры управления и защиты. В сельском хозяйстве работает 14,3 млн. электродвигателей и 2,7 млн. различных производственных электроустановок [1]. В будущем в процессе развития электрификации будет расширяться применение электроэнергии для производственных процессов в сельском хозяйстве. Целью данной работы является изучение применения электропривода в структуре АПК, его типов и разновидностей, а также рассмотрение вопроса влияния вредных факторов на срок службы электродвигателей.",68. сельское и лесное хозяйство
0,"В статье рассмотрены актуальность применения пара в работе сельскохозяйственных объектов и устройство его получения, где производимый пар является теплоносителем, источником энергии и позволяет отапливать различные помещения, нагревать определенные вещества на предприятиях, обрабатывать, дезинфицировать, стерилизовать и при этом оставаться компактным, достаточно мощным и производительным. Дано определение «Парогенератор» и указаны основные конструктивные особенности, отличающие его от других теплоэнергетических установок и виду подводимой энергии. Предложена принципиальная схема парогенератора и схема парогенератора с ТЭНами. Проанализированы основные виды парогенераторов и их принцип работы. Рассмотрен принцип работы электрического парогенератора, его простота в работе и способность функционировать в автономном режиме круглосуточно при любой температуре без вмешательства людей. Представлены, какие приборы контроля нужны и как они работают в парогенераторах различных типов. Большой типовой состав парогенераторов, зависящий от технологических целей, источников энергии и воды, а также эксплуатационных возможностей предприятия предполагает обоснованный выбор схемы парогенератора, его конструктивных параметров и энергетических режимов работы.",68. сельское и лесное хозяйство
0,"В данной статье мы рассмотрим, понятие сушки зерна, способы и технологии сушки зерна, виды зерносушилок, а так же рассмотрим способы экономии вырабатываемого тепла в виде вторичного производства. Важным фактором в послеуборочной обработке зерна приходится сушка. Данное решение позволяет зерну держать свое качество на высоком уровне продолжительное время. Сушка зерна - технология для уменьшения влажности продукта до получения нужной кондиции. Зерносушилка - техника, созданная для сушки масличных, зернобобовых и зерновых культур. С использованием высокопроизводительных комбайнов, в данный момент интерес к сушке зерна увеличился. Так же с использованием данных комбайнов время уборки уменьшилось, что так же является положительным моментом.",55. машиностроение
0,"Учеными аграрного ВУЗа Юга Тюменской области сделан мощнейший скачок в области разработки бездроссельной теплонасосной установки, позволяющей осуществлять энергоэффективный перенос тепла от менее нагретого тела более нагретому с обеспечением независимого регулирования температур контуров и тепло- и холодопроизводительностей. Упрощенная расчетная схема для определения параметров бездроссельной теплонасосной установки рассмотрена в данной статье.",68. сельское и лесное хозяйство
0,"Приведен анализ электрических двигателей, применяемых в настоящее время в сельском хозяйстве, дана кратная характеристика электродвигателей второй и четвертой серий. На сегодняшний день в сельском хозяйстве установлено приблизительно 30% электродвигателей первой серии (А и АО), около 60% электродвигателей второй серии (А2 и АО2) и 5% второй серии узкоспециализированного сельскохозяйственного исполнения А02...СХ и четвертой серии 4А, в том числе сельскохозяйственного исполнения.",68. сельское и лесное хозяйство
0,"Цель работы заключается в статическом анализе распространения коронавирусной инфекции в Тюменской области, Страны, Мира.  Проводя данное исследования, опиралась на данные ВОЗ, которые публикуются на официальном сайте и обновляются ежедневно. Меры предпринимаемые государством не соответствуют в полной мере действительности.",39. география
0,В статье рассмотрены общие сведения о паводках и их последствиях. Выбранный материал представляет мероприятия по предотвращению наводнений,87. охрана окружающей среды. экология человека
0,В статье рассмотрены общие сведения о требованиях пожарной безопасности к путям эвакуации и эвакуационным выходам. Приведены статистические данные о пожарах и обозначена актуальность вопроса повышения противопожарной защиты эвакуационных путей. Материал представляет общие понятия о способах реализации нормативных документов в области пожарной безопасности.,67. строительство. архитектура
0,В статье рассмотрены общие сведения о требованиях пожарной безопасности к путям эвакуации и эвакуационным выходам. Приведены статистические данные о пожарах и обозначена актуальность вопроса обеспечения безопасности эвакуации и эвакуационных выходов из зданий зрелищных учреждений.,67. строительство. архитектура
0,Количество и площадь лесных пожаров по своей природе цикличны. Количество лесных пожаров значительно меняются от года к году в зависимости от гидрометеорологических условий.,68. сельское и лесное хозяйство
0,"Актуальность данной темы обусловлена тем, что в мире сегодня существует множество форм развития бизнеса во всех сферах хозяйствования. Мы рассмотрели возможность создания страусиной фермы в АПК.",68. сельское и лесное хозяйство
0,В статье проведена оценка современного состояния производственной логистики в молочной отрасли и разработаны мероприятия по ее совершенствованию,68. сельское и лесное хозяйство
0,"В статье отмечено, что установление налога на профессиональный доход направлено на предоставление физическим лицам возможности работать законно при незначительной фискальной нагрузке. Также указаны меры государственной поддержки самозанятым в связи с коронавирусом и карантином.",06. экономика и экономические науки
0,"В статье рассматривается система бережливого производства, необходимая для максимального сокращения издержек предприятия. Известный подход ориентирован первостепенно на потребителя, на снижение затрат на производство, а также необходим, чтобы задействовать каждого специалиста компании.",06. экономика и экономические науки
0,"В данной статье говорится о влиянии автоматизации на экономическую эффективность промышленных комплексов Тюменской области. Приводится пример на основе предприятия УАВР ООО «ГазпромТрансгазСургут»,  в котором применяют последние разработки в области управления технологическими процессами.",06. экономика и экономические науки
0,"В статье рассматриваются риски, присущие агробизнесу, анализируется система риск-менеджмента малого предприятия и определяются приемы и способы их минимизации.",06. экономика и экономические науки
0,"Пандемия коронавируса, оказавшаяся внезапной для всех, нанесла большой вред экономике РФ. В статье кратко охарактеризованы принятые государством меры поддержки бизнеса РФ, утратившего в период пандемии значительную часть своих доходов.",06. экономика и экономические науки
0,"Существительные Pluralia tantum действительно очаровательны, и интерес славистов к ним восходит к тезису Брауна (1930) и ранее. На это есть несколько причин. Во-первых, многие из этих существительных дефектны, поскольку они исчисляемы, но не имеют единственного числа. Во-вторых, в то время как дефекты обычно включают спорадические пробелы (как в русском родительном падеже множественного числа *mečt для многих говорящих), наборы существительных во множественном числе tantum часто семантически предсказуемы, по крайней мере частично (они подвержены «обобщениям среднего размера», Koenig 1999). . Однако эта предсказуемость ограничена: сравните русское binokl «бинокль» (обычное существительное) с sani «сани», существительное во множественном числе tantum. В-третьих, они часто требуют некоторого исправления (например, использования собирательных числительных), чтобы их можно было рассматривать как исчисляемые существительные. Существительные Pluralia tantum вызывают постоянный интерес в общей лингвистической литературе (см., например, Wisniewski 2009), поэтому настало время рассмотреть особый интерес и вклад славянских данных, которым посвящена эта статья...",16. языкознание
0,"В статье рассматриваются некоторые подходы к совершенствованию системы внутрихозяйственных экономических отношений в аграрном секторе экономики, направленные на развитие инициативы, самостоятельности и предприимчивости.",06. экономика и экономические науки
0,"В сборнике представлены тезисы выступлений, научные доклады и сообщения участников научного мероприятия, проведенного в Калининградском филиале Санкт-Петербургского университета МВД России 22 мая 2020 г.",10. государство и право. юридические науки
0,"В этой статье пересматривается сделанный в 2010 г. прогноз о том, что десятилетие 2010–2020 гг., вероятно, станет периодом растущей нестабильности в Соединенных Штатах и ​​Западной Европе. Турчин П. 2018 г. структурно-демографические факторы нестабильности, такие как обнищание населения, внутриэлитная конкуренция и слабость государства до 2010 года. Используя эти тенденции в качестве исходных данных, модель рассчитала и спроецировала во времени индикатор политического стресса, который в прошлом сильно коррелировал с социально-политическими нестабильность. Ортманс и др. Turchin P. 2010 провел аналогичное структурно-демографическое исследование для Соединенного Королевства. Здесь мы используем кросс-национальный архив данных временных рядов для США, Великобритании и нескольких крупных стран Западной Европы, чтобы оценить эти структурно-демографические прогнозы. Мы обнаруживаем, что такие меры социально-политической нестабильности, как антиправительственные демонстрации и беспорядки, резко усилились в течение десятилетия 2010–2020 годов во всех этих странах.",03. история. исторические науки
0,"Основной целью мечения лосося на российских рыбоводных заводах является оценка количества возвращенных заводских лососей. В 2019 г. молодь тихоокеанских лососей отмечена в четырех регионах Дальнего Востока России. Выпуск меченой молоди составил 390,02 млн. экз. В этом документе представлены данные об уникальных отолитовых метках, использованных для маркировки молоди лосося, выпущенной с российских рыбоводных заводов в 2019 году.",69. рыбное хозяйство. аквакультура
0,"В статье изучается принцип функционирования малого предприятия, основные задачи и проблемы малых предприятий в современном мире. На основании полученных данных стояла задача выявить роль малых предприятий в экономике. В статье дан краткий анализ малых предприятий, раскрыты основные задачи в экономическом развитии, предложены наилучшие варианты улучшения в развитии малых предприятий.",68. сельское и лесное хозяйство
0,Изучена теория бережливого потребления и её влияние на сокращение бытовых отходов. Рассмотрены методы борьбы с излишним потреблением и образования большого количества отходов.,68. сельское и лесное хозяйство
0,"В данной статье рассмотрены основные тенденции развития автоматизации сельскохозяйственной отрасли и сделан вывод о том, что государство поддерживает данное направление своей социально-экономической политикой, поддерживая методологически и субсидируя его. Роботизация, безусловно, изменяет сферу сельского хозяйства. Традиционные методы ведения отходят в прошлое, для конкуренции на этом рынке даже сами сельхозтоваропроизводители вынуждены не только внедрять, но и развивать технологии для повышения своей производительности. Сельское хозяйство является одной из самых важных отраслей промышленности. По прогнозам экспертов, количество мирового населения достигнет 9 миллиардов к 2050 году, сельскохозяйственное производство должно удвоиться, чтобы удовлетворить",55. машиностроение
0,"Энергетика – фундамент экономики, основа материального производства, ключевой элемент жизнеобеспечения страны и основа ее экспортной базы.  Первым изобретателем лампочки считается русский ученый Александр Лодынин. Именно он реализовал мечту человечества о постоянном источнике освещения. Свое изобретение российский инженер впервые представил в 1872 году, а через год на петербургских улицах зажглись первые лампочки Лодынина. Нашлись последователи и на Тюменской земле, тоже приняли участие в этом историческом событии, определившее вектор развития отрасли, так, 129 лет назад, в 1890 году, была зажжена первая электрическая лампочка, а сделал это, купец Игнатов, на Жабынском судостроительном заводе в поселке Мыс, соорудив электростанцию из паровой машины, снятой с парохода, и генератора постоянного тока, обеспечив электроэнергией: заводские цеха, стапеля, квартиры служащих и народное училище.",44. энергетика
0,"В статье рассмотрены сахарозаменители натурального и синтетического происхождения, которые применяют при производстве кондитерских изделий.",65. пищевая промышленность
0,"В сборнике представлены научные доклады участников Международной научно-практической конференции, которая состоялась 30 октября 2020 года в Саратовском национальном исследовательском государственном университете имени Н.Г. Чернышевского. Всего участие в конференции приняли более 100 человек. Среди них представители таких городов, как:",15. психология
0,"В сборнике помещены материалы по истории культуры Европы древних и средних веков, нового и новейшего времени. Освещаются проблемы этнокультуры, межэтнических отношений, международного культурного и научного сотрудничества. Рассматриваются вопросы молодежной политики, образования, взаимодействия в сферах искусства, науки и производства. Адресуется студентам, аспирантам, всем интересующимся исторической наукой.",03. история. исторические науки
0,Объектом исследования является транспортно-экспедиционная организация. Предметом исследования является логистическая концепция в условиях транспортно-экспедиционной организации.,81. общие и комплексные проблемы технических и прикладных наук и отраслей народного хозяйства
0,"Краткий предварительный отчет по результатам опроса общественного мнения 2054 горожан из 8-ми уральских областей, проведенного в августе-сентябре 2002 г.",04. социология
0,"Объектами исследования являются пространственные данные (ПД), данные дистанционного зондирования Земли (ДЗЗ) и геоинформационные технологии (ГТ), а также услуги, сервисы и продукты, созданные на их основе.",89. космические исследования
0,"Hydrangea macrophylla - красивоцветущий кустарник, используемый в ландшафтном озеленении региона. Для массового размножения этой ценной культуры разработаны этапы введения в стерильные условия, собственно размножения. Этап адаптации растений к условиям ex vitro является заключительным и наиболее сложным. На этапе адаптации растений из культуры in vitro к нестерильным условиям часто применяют биопрепараты, стимулирующие рост, развитие и повышающие их иммунитет. Поэтому целью наших исследований было изучение особенностей адаптации культивируемых in vitro регенерантов Hydrangea macrophylla к нестерильным условиям. В эксперименте использовали следующие растворы биопрепаратов: 1) НВ-101, основным компонентом которого является диоксид кремния, извлечённый из сока и древесины сосны, подорожника, кипариса, кедра. Представляет собой универсальный стимулятор иммунитета и развития растений; 2) Циркон, основу которого составляет комплекс гидроксикоричных кислот и их производных. Биопрепарат улучшает укоренение при адаптации, защищает растения от стрессов; 3) Эпин, принадлежащий к классу брассиностероидов, природных гормонов растений, антистрессовый адаптоген, с сильной ростстимулирующей активностью; 4) Плант - природное органическое удобрение, улучшающее питание и укоренение растений...",68. сельское и лесное хозяйство
0,"Проведен анализ научных данных, свидетельствующие о роли и перспективах применения эндофитных бактерий (ЭБ) в промышленном садоводстве. Представлены результаты многочисленных исследований российских и зарубежных ученых, в которых в которых изучены распространённость, видовой состав эндофитных бактерий и их функции для различных сельскохозяйственных, в том числе садовых, растений. Отмечены основные филы и роды наиболее широко представленных эндофитных бактерий, часто встречающихся в сельскохозяйственных растениях. Перечислены органы и ткани растений, в наибольшей степени населённых эндофитными бактериями, указаны пути их заселения ЭБ из окружающей среды, описаны способы передачи от других растений, показана их зависимость от вида и генотипа растения-хозяина, сезона года, окружающей среды, таксономического состава, сортимента растений. Отмечена тесная взаимовыгодная связь между растением-хозяином и его микробиомом. Показаны позитивное влияние эндофитных бактерий на органо- и эмбриогенез сельскохозяйственных растений, способность ЭБ переводить атмосферный азот, фосфор в формы, доступные для усвоения растениями, продуцировать гормоны и тем самым стимулировать рост растений...",68. сельское и лесное хозяйство
0,"Объектами исследования являются значимые параметры водной среды участков промысла криля в Атлантической части Антарктики, определяемые методами дистанционного зондирования из космоса в оптическом и радио диапазонах спектра электромагнитных волн.",89. космические исследования
0,"Конференция проходила в МГТУ им. Баумана. Основной целью данной конференции является представление новых результатов исследований в различных областях механики, проводимых в российских и зарубежных научных и образовательных учреждениях. В конференции приняли участие д-р Кристиан Бизуар (директор Центра ориентации Земли IERS Парижской обсерватории), проф. д-р Шуанген Цзинь (руководитель группы спутниковой навигации и дистанционного зондирования Китайской академии наук) и другие известные ученые. Ученые проявили свои большие возможности в изучении различных проблем во многих областях науки и техники, а также в применении новых подходов, которые развивают и совершенствуют методы механики. В докладах было показано, что дифференциальные уравнения и теоретические методы динамики обладают большими возможностями при описании движения полюса Земли, сближения Земли и астероида, в задачах гравитационно-волновой астрономии, а также в других классических задачах механики. С 2017 года материалы конференции успешно издаются издательством IOP Publishing.",27. математика
0,"Разработана технологическая схема получения неактивированных и активированных ионами европия или церия ниобатов, танталатов гадолиния и твердых растворов на их основе. Состав синтезированных порошков и керамики изучен методами рентгеноспектрального микроанализа и рентгенодифракционного фазового анализа. Исследование полученных образцов (GdxEu1-x)NbyTa1-yO4 выявило соответствие их элементного состава заданному. Показано, что в процессе синтеза активированных и неактивированных материалов при повышении температуры прокаливания от 1200 до 1400 °С происходит уменьшение фазовых примесей с 10-15 до 4-10 мас.%. Установлено, что при этих температурах образцы GdTaO4 и         (GdxEu1-x)TaO4 имеют различные структурные политипы.",29. физика
0,"Основное назначение проекта – это снижение заболеваемости коров маститом при роботизированной дойке обеспечиваемое путем регулярной обработки доильного оборудования смесью воды и биологически активных добавок. Разработанный смеситель интегрируется в систему промывки доильного оборудования робота-дояра, с проведением необходимых подключений и настроек для работы оборудования в режиме робота-дояра. Цель работы – определение основных рабочих параметров смесителя-дозатора биологически активных добавок.",68. сельское и лесное хозяйство
0,"В статье представлен краткий историко-историографический обзор основных понятий и направлений гендерных исследований в мире и в России. Рассмотрено возникновение «женского вопроса», его три основных феномена: эмансипация, суфражизм, феминизм. Целью статьи, наряду с кратким изложением общих моментов в изучении гендерной асимметрии, является констатация гендерного неравенства в науке вообще и в Сибирском отделении АН СССР/РАН в частности. Приведена статистика по научным кадрам и доли женщин в сфере отечественной науки. Статья актуализирует изучение истории женщин в науке, которое в самом Сибирском отделении находится на начальной стадии своего становления.",03. история. исторические науки
0,"В статье рассмотрены результаты натурных исследований пространственно-временных процессов взаимодействия элементной базы крепи с массивом горных пород, а также с геомеханической точки зрения проанализированы её возможности и недостатки. Шахтные исследования смещений и разрушений массива пород, пласта угля и крепи подготовительных выработок были проведены более чем на 30 шахтопластах Северного и Центрального Кузбасса. Суммарная длительность этих наблюдений составила более 5 лет, за это время было произведено более 20 000 единичных замеров. Все натурные наблюдения проводились в соответствии с Все натурные наблюдения проводились в соответствии с утвержденными методиками и действующими правилами техники безопасности. Для достижения цели, поставленной в работе, были проведены наблюдения за смещениями и разрушениями пород кровли в окрестности подготовительных выработок для выявления пространственно-временных связей, их параметров, основных влияющих факторах в системе «массив - выработка - обрушенные породы»; за изменениями состояния пласта угля для изучения процесса разрушения краевой части угольного массива; за взаимодействием штрековой и охраняющей крепей, находящихся на границе «массив - обрушенные породы», с боковыми породами для выявления особенностей влияния различных факторов.",52. горное дело
0,"При транспортировании вскрышных пород и угля на открытых горных работах наибольшее значение имеет автомобильный транспорт. За последние десятилетия доля его использования, особенно в Кузбассе, приближается к 90%. Тому есть объективные причины, в частности, углубление горных работ на разрезах, снижение объемов участковых грузооборотов и связанная с этим нецелесообразность применения железнодорожного транспорта. Комбинированные и специальные способы транспортирования не получили широкого применения на разрезах, бестранспортная вскрыша также имеет достаточно ограниченную область применения. В связи с этим одной из первоочередных научно-производственных задач является оптимизация работы парка автомобильного транспорта и его глубокая модернизация на основе принципиально нового оборудования - беспилотных карьерных автосамосвалов. На зарубежных карьерах такой вид оборудования пока имеет единичные случаи применения и по этим эпизодам пока невозможно сделать глобальные выводы о рациональности применения беспилотников и о рекомендациях по их использованию в конкретных условиях...",52. горное дело
0,"Доработка запасов угля на некоторых угольных карьерах Кузбасса требует переукладки пород, ранее намытых в гидроотвалы, которые находятся над запасами угля. На основании анализа изменений физико-механических свойств намывных пород предлагается комплексная технология переукладки гидроотвалов, которая позволила обосновать новый способ их разработки и перемещения. Сущность этого способа переукладки пород гидроотвалов заключается в том, что безопасность и эффективность ведения горных работ обеспечивается не только за счет использования комплекса гидромеханизированных технологий, каждая из которых применяет технические средства, которые соответствуют физико-механическим свойствам пород разрабатываемых зон гидроотвала, но и последовательностью их применения и сочетания. Определено условие устойчивой работы гидрокомплекса, включающего земснаряд и гидромонитор, когда гидросмесь, поступающая от гидромонитора, и дополнительно разработанная земснарядом порода в виде гидросмеси, повышающая общую концентрацию пульпы, транспортируемой в новый гидроотвал, соответствуют возможности грунтового насоса, который установлен на земснаряде...",52. горное дело
0,"Предложены конкретные меры для стимулирования взаимосвязанного развития отрасли переработки отходов в органические удобрения и отрасли производства органической продукции. Особое внимание уделено приоритетным технологиям переработки отходов в органические удобрения, механизмам пилотирования и масштабирования российских технологий для их ускоренного применения в сельском хозяйстве.",68. сельское и лесное хозяйство
0,"В статье обобщены международные подходы в области создания эффективного управленческого инструментария, обеспечивающего возможность оперативного управления программами школьного питания разного масштаба - системы мониторинга и оценки. M&E system, как инструмент проектного управления, является наиболее актуальным и адекватным средством для снижения уровня неопределенности и обеспечения эффективности управленческих решений, используя возможности цифровизации. В работе предложены направления создания базового инструментария системы мониторинга и оценки национальных программ школьного питания и национального плана системы M&E программы школьного питания России.",65. пищевая промышленность
